run,horizon_minutes,forecasts,scored,missing_outcomes,sessions,log_loss,brier,baseline_log_loss,loss_difference,difference_ci_low,difference_ci_high,endpoint_mae_ticks,zero_forecast_mae_ticks,endpoint_rmse_ticks,zero_forecast_rmse_ticks,interval_80_coverage,interval_80_width,long_mae80_coverage,short_mae80_coverage,mean_scenario_ess,mean_nearest_distance,feature_coverage,flow_coverage
liquidity_shock-1729,120,480,480,0,8,1.0472792728572078,0.6326800269885822,1.111072288602087,-0.06379301574487932,-0.15467623846404313,0.027834297072369684,26.504552698603923,27.327083333333285,37.63191958544777,38.75486528596551,0.7937500000000001,95.29532595387256,0.8645833333333334,0.8,1133.5525836502109,0.6661952257956021,0.9739130434782607,1.0
liquidity_shock-1729,240,288,288,0,8,1.129090446406168,0.6817789209603593,1.138586239666884,-0.009495793260715688,-0.09154738848038985,0.08138170874243146,47.29847251022567,43.45312500000003,58.347941622949186,59.23390399040446,0.736111111111111,171.01545784950187,0.8263888888888888,0.84375,720.6454550189538,0.7683453470557262,0.9565217391304349,1.0
decoupling-1729,60,576,576,0,8,0.9578252810661304,0.5726718235719112,1.0020383876027454,-0.044213106536614845,-0.08365811607510193,0.001244371242313407,12.478127157432738,14.130208333333279,16.492481679470245,18.919901522236025,0.7586805555555555,35.81409633769594,0.829861111111111,0.7378472222222222,1248.7675394419948,0.5543747450046188,0.9782608695652174,1.0
decoupling-1729,120,480,480,0,8,0.9763599918196029,0.5916229612216573,0.9660009973815618,0.010358994438041,-0.05046527396933617,0.08523983389704899,22.6167168297772,24.358333333333263,29.22936421742831,31.178701998853803,0.6958333333333334,64.00763478136395,0.8520833333333333,0.6687500000000001,1058.6197801708033,0.5438435618402477,0.9739130434782607,1.0
decoupling-1729,240,288,288,0,8,1.1716729499107774,0.7189076635294533,1.1398417244289372,0.031831225481840315,-0.05745388768964584,0.12564085096281435,34.23412642802946,31.84548611111103,42.052302453924455,42.044361079829834,0.7291666666666666,115.78730081944683,0.829861111111111,0.7881944444444444,639.6012610101425,0.5492273236211509,0.9565217391304349,1.0
feed_gaps-1729,60,456,360,96,8,0.9895222605731899,0.5927402581263352,1.079851189597004,-0.09032892902381413,-0.14116919493103156,-0.03830751305245744,8.360540414719837,9.137499999999948,11.38377616956551,12.87797969834986,0.8722222222222222,34.29127008657344,0.875,0.8583333333333333,1238.6254807100033,0.40004540561792307,0.9212560386473428,1.0
feed_gaps-1729,120,360,168,192,8,1.0677585808378172,0.6458820339839887,1.0873959384877518,-0.019637357649934344,-0.07205253981272501,0.025705677472627232,11.981005212022104,12.880952380952197,16.977290073290103,17.273276221625277,0.9285714285714286,61.21985480611777,0.9523809523809523,0.875,1081.8158485222546,0.418738299660962,0.8995859213250517,1.0
feed_gaps-1729,240,200,0,200,0,,,,,,,,,,,,,,,651.8221300357125,0.4723332368261919,0.9121739130434783,0.88
null-1729,60,576,576,0,8,1.0877744035422205,0.6605082610883505,1.087858659414121,-8.425587190043996e-05,-0.03775241893210427,0.041442449151738316,8.155033085950466,8.362847222222223,10.787303906190512,11.145307620000619,0.8472222222222222,30.114395219036453,0.8211805555555555,0.8385416666666666,1429.3142523659142,0.4838554307301642,0.9782608695652174,1.0
null-1729,120,480,480,0,8,1.0928576652262674,0.6659746183626286,1.0866636329491965,0.006194032277070623,-0.04062578831417381,0.049857902196243316,10.864291098428193,11.264583333333317,14.26229869956463,14.80712806950307,0.7916666666666667,38.16429785398064,0.7875,0.8104166666666667,1201.6798373933411,0.48284581223201783,0.9739130434782607,1.0
