configuration,horizon_minutes,model,world,gaussian_nll,mse,coverage80
precise_current_proxy,60,causal_kalman_observer,51,3.5041186533404374,53.05358538232031,0.8987341772151899
precise_current_proxy,60,causal_kalman_observer,52,3.5149742612639234,55.384535055250794,0.9493670886075949
precise_current_proxy,60,causal_kalman_observer,53,3.7771528909876024,111.68034045934726,0.7974683544303798
precise_current_proxy,60,causal_kalman_observer,54,3.750491827685937,105.95559457491494,0.7974683544303798
precise_current_proxy,60,causal_kalman_observer,55,3.6613668075149013,86.81839488219806,0.8481012658227848
precise_current_proxy,60,causal_kalman_observer,56,3.7590868994294633,107.80115493510804,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,57,3.4776213863568146,47.3640103493643,0.9493670886075949
precise_current_proxy,60,causal_kalman_observer,58,3.566759827147114,66.50409175891332,0.8987341772151899
precise_current_proxy,60,causal_kalman_observer,59,3.643748015585327,83.03523344387622,0.8481012658227848
precise_current_proxy,60,causal_kalman_observer,60,3.657987078714159,86.09268907205711,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,61,3.657503711022106,85.98889886780171,0.8860759493670886
precise_current_proxy,60,causal_kalman_observer,62,3.7477095719927607,105.35818003638946,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,63,4.346735136271458,233.98279995394137,0.7215189873417721
precise_current_proxy,60,causal_kalman_observer,64,3.765758654048748,109.2337347000833,0.7974683544303798
precise_current_proxy,60,causal_kalman_observer,65,3.99523045888158,158.5066296122703,0.7468354430379747
precise_current_proxy,60,causal_kalman_observer,66,3.7325085552492,102.09417075599215,0.7974683544303798
precise_current_proxy,60,causal_kalman_observer,67,3.6733422676458933,89.38980268103163,0.7974683544303798
precise_current_proxy,60,causal_kalman_observer,68,3.7163260740962323,98.61941840526467,0.810126582278481
precise_current_proxy,60,causal_kalman_observer,69,3.596480600297516,72.88582799537842,0.8607594936708861
precise_current_proxy,60,causal_kalman_observer,70,3.8776078829940506,133.25034670976294,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,71,3.5671508354375736,66.58805026710424,0.8987341772151899
precise_current_proxy,60,causal_kalman_observer,72,3.8093311310815627,118.58975159054901,0.7215189873417721
precise_current_proxy,60,causal_kalman_observer,73,4.317019920633901,227.60225704380534,0.6075949367088608
precise_current_proxy,60,causal_kalman_observer,74,3.648150420555693,83.98053144083009,0.810126582278481
precise_current_proxy,60,causal_kalman_observer,75,3.736229125315171,102.89306305566978,0.7721518987341772
precise_current_proxy,60,causal_kalman_observer,76,3.7817602616988615,112.6696493334496,0.7468354430379747
precise_current_proxy,60,causal_kalman_observer,77,3.663284605387903,87.23019036673733,0.8354430379746836
precise_current_proxy,60,causal_kalman_observer,78,3.7428273311779976,104.30985020442156,0.810126582278481
precise_current_proxy,60,causal_kalman_observer,79,3.923115829054545,143.02195348969707,0.7215189873417721
precise_current_proxy,60,causal_kalman_observer,80,3.97053703864157,153.2043821252866,0.6962025316455697
precise_current_proxy,60,causal_kalman_observer,81,3.439252629269834,39.12535228313589,0.9873417721518988
precise_current_proxy,60,causal_kalman_observer,82,3.6580165661425617,86.09902070378878,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,83,3.9982472002895246,159.15439364793977,0.7088607594936709
precise_current_proxy,60,causal_kalman_observer,84,3.8017157777186306,116.95455938798489,0.7721518987341772
precise_current_proxy,60,causal_kalman_observer,85,4.487624251337178,264.2349460333325,0.569620253164557
