configuration,horizon_minutes,model,worlds,origins_per_world,gaussian_nll,nll_ci_low,nll_ci_high,endpoint_rmse_ticks,interval80_coverage,mean_interval80_width_ticks
precise_5min_late_proxy,120,causal_kalman_observer,128,67,4.376190282832461,4.319620500758812,4.43276006490611,19.24448386006297,0.8041044776119403,49.584364130100965
precise_5min_late_proxy,120,memory_limited_ridge,128,67,4.402571348666465,4.3583828082660565,4.446759889066873,19.538348616374513,0.8489972014925373,55.900251506533884
precise_5min_late_proxy,240,hidden_state_oracle,128,43,4.873271618953374,4.795588710330977,4.950954527575771,31.63682078543517,0.786155523255814,80.81507355127816
precise_5min_late_proxy,240,causal_kalman_observer,128,43,4.885812510474817,4.808430466863996,4.9631945540856375,32.03636550218542,0.7828851744186046,81.98819649677002
precise_5min_late_proxy,240,memory_limited_ridge,128,43,4.915224582117665,4.855801271325387,4.974647892909944,32.645588714131385,0.8410247093023255,93.07626950667886
precise_30min_late_proxy,60,hidden_state_oracle,128,79,3.7310439833369844,3.694271812621922,3.767816154052047,10.095345751794184,0.8057753164556962,26.020032375779806
precise_30min_late_proxy,60,causal_kalman_observer,128,79,3.870619103620975,3.8326133337966444,3.9086248734453055,11.607806040371715,0.7973694620253164,29.702641831609807
precise_30min_late_proxy,60,memory_limited_ridge,128,79,3.877999300006977,3.8435875053387174,3.9124110946752366,11.6764218313704,0.8171479430379747,31.121008016035898
precise_30min_late_proxy,120,hidden_state_oracle,128,67,4.342269201163803,4.285810430695004,4.398727971632602,18.60263424890341,0.804804104477612,47.931472367886926
precise_30min_late_proxy,120,causal_kalman_observer,128,67,4.417458323897898,4.35979227600334,4.475124371792456,20.055828003272758,0.800839552238806,51.40931828743973
precise_30min_late_proxy,120,memory_limited_ridge,128,67,4.435408925147386,4.388712393362986,4.482105456931786,20.234137367419876,0.8416511194029851,57.23192089229565
precise_30min_late_proxy,240,hidden_state_oracle,128,43,4.873271618953374,4.795588710330977,4.950954527575771,31.63682078543517,0.786155523255814,80.81507355127816
precise_30min_late_proxy,240,causal_kalman_observer,128,43,4.902414205396671,4.8242525510459675,4.980575859747374,32.572589955766055,0.7832485465116279,83.30939150970534
precise_30min_late_proxy,240,memory_limited_ridge,128,43,4.926460414197089,4.864550162622161,4.988370665772017,33.06876993605905,0.8275799418604651,93.44695020504795
