seed,horizon_minutes,sample,candidate,reference,metric,sessions,difference,ci_low,ci_high
2718,120,all_eligible,price_only,train_frequency,log_loss,8,-0.09610593593499893,-0.1540472771359836,-0.03618444660862214
2718,120,all_eligible,price_only,train_frequency,brier,8,-0.07688774573401444,-0.12234769320490713,-0.027813459990811258
2718,120,all_eligible,frozen_full,train_frequency,log_loss,8,-0.09396504563366045,-0.15024273108861855,-0.040690587000552954
2718,120,all_eligible,frozen_full,train_frequency,brier,8,-0.07962833121263588,-0.11888169865151278,-0.04224394221482541
2718,120,matched_horizons,clock_only,train_frequency,log_loss,8,-0.024099165218255364,-0.04747537550384547,0.0048057814365167996
2718,120,matched_horizons,clock_only,train_frequency,brier,8,-0.020861590989838683,-0.03552778414383659,0.0004123085519964903
2718,120,matched_horizons,price_only,train_frequency,log_loss,8,-0.13757541034636725,-0.21275975490210738,-0.05302493525776208
2718,120,matched_horizons,price_only,train_frequency,brier,8,-0.10980381075620432,-0.17782609482296652,-0.03549165390272195
2718,120,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.10979197989225076,-0.17502026022641617,-0.04793329427434072
2718,120,matched_horizons,frozen_full,train_frequency,brier,8,-0.09696016638913232,-0.14869301748103902,-0.049975927917208736
2718,240,all_eligible,clock_only,train_frequency,log_loss,8,0.0002682337552166597,-0.08456363282402296,0.06661179881029484
2718,240,all_eligible,clock_only,train_frequency,brier,8,-0.007632961361835562,-0.05517190292502793,0.03106832545810645
2718,240,all_eligible,price_only,train_frequency,log_loss,8,-0.11099113911310973,-0.17406241929794544,-0.051473458111067794
2718,240,all_eligible,price_only,train_frequency,brier,8,-0.07732247057123899,-0.12144484373776282,-0.0367214124533466
2718,240,all_eligible,frozen_full,train_frequency,log_loss,8,-0.04591538476772014,-0.0819028408262255,-0.006871963351795986
2718,240,all_eligible,frozen_full,train_frequency,brier,8,-0.03018062795738089,-0.05625067592136708,-0.0020933283541075226
2718,240,matched_horizons,clock_only,train_frequency,log_loss,8,0.0002682337552166597,-0.08456363282402296,0.06661179881029484
2718,240,matched_horizons,clock_only,train_frequency,brier,8,-0.007632961361835562,-0.05517190292502793,0.03106832545810645
2718,240,matched_horizons,price_only,train_frequency,log_loss,8,-0.11099113911310973,-0.17406241929794544,-0.051473458111067794
2718,240,matched_horizons,price_only,train_frequency,brier,8,-0.07732247057123899,-0.12144484373776282,-0.0367214124533466
2718,240,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.04591538476772014,-0.0819028408262255,-0.006871963351795986
2718,240,matched_horizons,frozen_full,train_frequency,brier,8,-0.03018062795738089,-0.05625067592136708,-0.0020933283541075226
3141,60,all_eligible,clock_only,train_frequency,log_loss,8,-0.0006670475065206904,-0.019464318953885507,0.02090508683896527
3141,60,all_eligible,clock_only,train_frequency,brier,8,0.0009491150496117595,-0.014447582767891065,0.018281427388031662
3141,60,all_eligible,price_only,train_frequency,log_loss,8,-0.03818202259712207,-0.10857662036720675,0.018352107572897385
3141,60,all_eligible,price_only,train_frequency,brier,8,-0.02534177146683758,-0.07914806762071436,0.018191891568734006
3141,60,all_eligible,frozen_full,train_frequency,log_loss,8,-0.09115475433042079,-0.1647893199509815,-0.027238188641510563
3141,60,all_eligible,frozen_full,train_frequency,brier,8,-0.06240633246192133,-0.11844335442283264,-0.011780521817570083
3141,60,matched_horizons,clock_only,train_frequency,log_loss,8,0.0021707713800913353,-0.01665530909290406,0.023047404836796494
3141,60,matched_horizons,clock_only,train_frequency,brier,8,0.0027613400842108754,-0.009748183341483106,0.016783668886835065
3141,60,matched_horizons,price_only,train_frequency,log_loss,8,-0.07300104291568332,-0.1567513423251205,0.0030084040980739297
3141,60,matched_horizons,price_only,train_frequency,brier,8,-0.053665767716155374,-0.1154987899229352,0.0015491199558098079
3141,60,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.059341364071104435,-0.16927573782569094,0.058818376313072226
3141,60,matched_horizons,frozen_full,train_frequency,brier,8,-0.03955869552533233,-0.12063018448753969,0.04917385991795479
3141,120,all_eligible,clock_only,train_frequency,log_loss,8,0.030132888150617043,-0.003971097996381675,0.06611703152109785
3141,120,all_eligible,clock_only,train_frequency,brier,8,0.02127402853978018,-0.003496293641183713,0.04576794834420467
3141,120,all_eligible,price_only,train_frequency,log_loss,8,-0.01314241250756612,-0.07307720514342521,0.03971311519531145
3141,120,all_eligible,price_only,train_frequency,brier,8,-0.012399210444621847,-0.058874077342594894,0.02878566662288712
3141,120,all_eligible,frozen_full,train_frequency,log_loss,8,-0.00602971147655279,-0.0849288297602048,0.06330186434792073
3141,120,all_eligible,frozen_full,train_frequency,brier,8,-0.007561976547636205,-0.07056169692237217,0.04848900919109777
3141,120,matched_horizons,clock_only,train_frequency,log_loss,8,0.023986968126642777,-0.012424776563850949,0.05704507535524484
3141,120,matched_horizons,clock_only,train_frequency,brier,8,0.01683747041854962,-0.008113225554913521,0.03937542697140224
3141,120,matched_horizons,price_only,train_frequency,log_loss,8,-0.016251045065264924,-0.09747559752487094,0.06845372079471443
3141,120,matched_horizons,price_only,train_frequency,brier,8,-0.0193307019043154,-0.07804373217497294,0.04002855545880413
3141,120,matched_horizons,frozen_full,train_frequency,log_loss,8,0.026127329796415744,-0.09197858124706523,0.14846984960950058
3141,120,matched_horizons,frozen_full,train_frequency,brier,8,0.015228229030845378,-0.07514454636700015,0.10508915297623954
3141,240,all_eligible,clock_only,train_frequency,log_loss,8,-0.018273325996242373,-0.05666027312947021,0.01694696466487553
3141,240,all_eligible,clock_only,train_frequency,brier,8,-0.008049495377618704,-0.026614802041135085,0.0087823282687955
3141,240,all_eligible,price_only,train_frequency,log_loss,8,-0.010904867191842249,-0.11118478001187133,0.10930467088172457
3141,240,all_eligible,price_only,train_frequency,brier,8,-0.006264737666179056,-0.07759211621119921,0.0788703417066323
3141,240,all_eligible,frozen_full,train_frequency,log_loss,8,-0.0021845504739154142,-0.017150029891456673,0.011930485539035796
3141,240,all_eligible,frozen_full,train_frequency,brier,8,-0.0034746269880194663,-0.011767465944019534,0.0034691035776484224
3141,240,matched_horizons,clock_only,train_frequency,log_loss,8,-0.018273325996242373,-0.05666027312947021,0.01694696466487553
3141,240,matched_horizons,clock_only,train_frequency,brier,8,-0.008049495377618704,-0.026614802041135085,0.0087823282687955
3141,240,matched_horizons,price_only,train_frequency,log_loss,8,-0.010904867191842249,-0.11118478001187133,0.10930467088172457
3141,240,matched_horizons,price_only,train_frequency,brier,8,-0.006264737666179056,-0.07759211621119921,0.0788703417066323
3141,240,matched_horizons,frozen_full,train_frequency,log_loss,8,-0.0021845504739154142,-0.017150029891456673,0.011930485539035796
3141,240,matched_horizons,frozen_full,train_frequency,brier,8,-0.0034746269880194663,-0.011767465944019534,0.0034691035776484224
1729,60,all_eligible,frozen_full,price_only,log_loss,8,-0.028649748469900774,-0.07983728244234503,0.023723485055422613
1729,60,all_eligible,frozen_full,price_only,brier,8,-0.022189170443564728,-0.057090883136150204,0.014024933275101657
1729,60,matched_horizons,frozen_full,price_only,log_loss,8,0.005672834205083424,-0.04245195582534021,0.05358976258969372
