seed,horizon_minutes,candidate,reference,metric,sessions,difference,ci_low,ci_high
1729,60,cal_path_mixture,frozen_mixture,long_pinball80_ticks,8,0.0,0.0,0.0
1729,60,cal_path_mixture,frozen_mixture,short_pinball80_ticks,8,0.0,0.0,0.0
1729,60,cal_path_mixture,frozen_mixture,interval80_score_ticks,8,0.0,0.0,0.0
1729,60,local,frozen_mixture,log_loss,8,0.0839368779654232,0.054842914252316535,0.10977461925488641
1729,60,local,frozen_mixture,brier,8,0.0578186759753256,0.035512598682602155,0.07775695980423296
1729,60,local,frozen_mixture,endpoint_crps_ticks,8,0.7724146134985872,0.46386519071246335,1.1047965934266968
1729,60,local,frozen_mixture,long_mae_crps_ticks,8,0.25829769846971057,-0.16687037613297923,0.6241679184806866
1729,60,local,frozen_mixture,short_mae_crps_ticks,8,0.5538815982048892,0.30156239249337174,0.8263053234356569
1729,60,local,frozen_mixture,marginal_crps_ticks,8,0.5281979700577291,0.32844790712917493,0.7394656375060835
1729,60,local,frozen_mixture,long_pinball80_ticks,8,0.19724465900926014,-0.06185270239891659,0.46222815175807236
1729,60,local,frozen_mixture,short_pinball80_ticks,8,0.3625793270018517,0.12149627493059369,0.6196827288515313
1729,60,local,frozen_mixture,interval80_score_ticks,8,5.257852724198229,3.376445739396014,6.957819108801383
1729,60,structural,frozen_mixture,log_loss,8,0.0554026909451356,0.035618839304308786,0.07189608221479242
1729,60,structural,frozen_mixture,brier,8,0.03544339129273548,0.020995548017088327,0.04691657210031514
1729,60,structural,frozen_mixture,endpoint_crps_ticks,8,0.43501769497819676,0.2633046513577182,0.6154881520733808
1729,60,structural,frozen_mixture,long_mae_crps_ticks,8,0.181614162183373,-0.09153857264012732,0.428247947765762
1729,60,structural,frozen_mixture,short_mae_crps_ticks,8,0.4117047171781562,0.24216054494765285,0.5827969755107987
1729,60,structural,frozen_mixture,marginal_crps_ticks,8,0.34277885811324166,0.22789279663328504,0.4667085507743826
1729,60,structural,frozen_mixture,long_pinball80_ticks,8,0.1809695611983705,0.036933640122061163,0.35433509795661267
1729,60,structural,frozen_mixture,short_pinball80_ticks,8,0.2610194347759247,0.049865874981374014,0.45757584039801386
1729,60,structural,frozen_mixture,interval80_score_ticks,8,3.6249644989308667,2.1001999517011676,5.128307335983598
2718,60,cal_path_mixture,frozen_mixture,log_loss,8,2.7755575615628914e-17,0.0,8.326672684688674e-17
2718,60,cal_path_mixture,frozen_mixture,brier,8,1.3877787807814457e-17,0.0,4.163336342344337e-17
2718,60,cal_path_mixture,frozen_mixture,endpoint_crps_ticks,8,0.0,-6.661338147750939e-16,6.661338147750939e-16
2718,60,cal_path_mixture,frozen_mixture,long_mae_crps_ticks,8,2.7755575615628914e-16,0.0,5.551115123125783e-16
2718,60,cal_path_mixture,frozen_mixture,short_mae_crps_ticks,8,1.1102230246251565e-16,0.0,3.3306690738754696e-16
2718,60,cal_path_mixture,frozen_mixture,marginal_crps_ticks,8,0.0,0.0,0.0
2718,60,cal_path_mixture,frozen_mixture,long_pinball80_ticks,8,0.0,0.0,0.0
2718,60,cal_path_mixture,frozen_mixture,short_pinball80_ticks,8,0.0,0.0,0.0
2718,60,cal_path_mixture,frozen_mixture,interval80_score_ticks,8,0.0,0.0,0.0
2718,60,local,frozen_mixture,log_loss,8,0.0830540417028999,0.02304202443418888,0.13602807231078173
2718,60,local,frozen_mixture,brier,8,0.06201853993700923,0.01647072830921822,0.10139595070686729
2718,60,local,frozen_mixture,endpoint_crps_ticks,8,1.2904308065947863,0.4540832466121846,2.304136736783017
2718,60,local,frozen_mixture,long_mae_crps_ticks,8,0.29885998711940825,-0.07018617650775466,0.6825035326761517
2718,60,local,frozen_mixture,short_mae_crps_ticks,8,0.8094767777415603,0.44869018366844604,1.221307510929539
2718,60,local,frozen_mixture,marginal_crps_ticks,8,0.7995891904852517,0.3194551335489971,1.384980595967491
2718,60,local,frozen_mixture,long_pinball80_ticks,8,0.0522320298569387,-0.048777430970016356,0.16730732415125044
2718,60,local,frozen_mixture,short_pinball80_ticks,8,0.44641033701495236,0.18066950362762746,0.7081529629602439
2718,60,local,frozen_mixture,interval80_score_ticks,8,4.143238432603466,0.492486868137358,7.871980821049242
2718,60,structural,frozen_mixture,log_loss,8,0.07870840188610814,0.020360240966497547,0.12862362588814163
2718,60,structural,frozen_mixture,brier,8,0.0582023982401768,0.014081949990102899,0.0958854811537737
2718,60,structural,frozen_mixture,endpoint_crps_ticks,8,1.2170961477278155,0.4210600980445073,2.146116105070568
2718,60,structural,frozen_mixture,long_mae_crps_ticks,8,0.28969409425054754,-0.06909157612804598,0.6590032886209924
2718,60,structural,frozen_mixture,short_mae_crps_ticks,8,0.7732508147101078,0.4347001316566568,1.147808570910213
2718,60,structural,frozen_mixture,marginal_crps_ticks,8,0.7600136855628241,0.30265477405202923,1.2991508973128059
2718,60,structural,frozen_mixture,long_pinball80_ticks,8,0.06376691550601521,-0.03241540180246094,0.17572446791836832
2718,60,structural,frozen_mixture,short_pinball80_ticks,8,0.429226972000262,0.17141657661469917,0.6779634502758123
2718,60,structural,frozen_mixture,interval80_score_ticks,8,4.249317425045994,0.5549945602732873,7.949078683639857
3141,60,cal_path_mixture,frozen_mixture,log_loss,8,1.1102230246251565e-16,5.551115123125783e-17,1.6653345369377348e-16
3141,60,cal_path_mixture,frozen_mixture,brier,8,-6.938893903907228e-18,-4.163336342344337e-17,2.0816681711721685e-17
3141,60,cal_path_mixture,frozen_mixture,endpoint_crps_ticks,8,1.1102230246251565e-16,-5.551115123125783e-16,7.771561172376096e-16
3141,60,cal_path_mixture,frozen_mixture,long_mae_crps_ticks,8,2.220446049250313e-16,0.0,4.440892098500626e-16
3141,60,cal_path_mixture,frozen_mixture,short_mae_crps_ticks,8,2.7755575615628914e-16,5.551115123125783e-17,5.551115123125783e-16
3141,60,cal_path_mixture,frozen_mixture,marginal_crps_ticks,8,1.1102230246251565e-16,0.0,3.3306690738754696e-16
3141,60,cal_path_mixture,frozen_mixture,long_pinball80_ticks,8,0.0,0.0,0.0
3141,60,cal_path_mixture,frozen_mixture,short_pinball80_ticks,8,0.0,0.0,0.0
3141,60,cal_path_mixture,frozen_mixture,interval80_score_ticks,8,0.0,0.0,0.0
3141,60,local,frozen_mixture,log_loss,8,0.07075764197753842,0.018008890677610835,0.13303635786230347
3141,60,local,frozen_mixture,brier,8,0.0465702312541864,0.0052279132481217,0.0938174047886443
3141,60,local,frozen_mixture,endpoint_crps_ticks,8,0.9307945820400935,-0.04984634977798251,2.1190662359257084
3141,60,local,frozen_mixture,long_mae_crps_ticks,8,0.38798444123781783,0.0038390501672813937,0.8449798776921206
3141,60,local,frozen_mixture,short_mae_crps_ticks,8,0.271224797667826,-0.19485875644585005,0.6701959711952765
3141,60,local,frozen_mixture,marginal_crps_ticks,8,0.5300012736485785,-0.059308929650027986,1.1983291626460018
3141,60,local,frozen_mixture,long_pinball80_ticks,8,0.0884297957131504,-0.09875621833758452,0.3399870107441083
3141,60,local,frozen_mixture,short_pinball80_ticks,8,0.1108426454652146,-0.3353588635764161,0.3729504672527821
3141,60,local,frozen_mixture,interval80_score_ticks,8,4.268975855129656,1.1832524002742248,7.724871765759661
3141,60,structural,frozen_mixture,log_loss,8,0.04310252632111829,0.01288983180711348,0.0777069847215593
3141,60,structural,frozen_mixture,brier,8,0.02485506249260426,0.0005859115605955856,0.0506736384480061
3141,60,structural,frozen_mixture,endpoint_crps_ticks,8,0.452042729046348,-0.05394538867857389,1.0014860311262548
3141,60,structural,frozen_mixture,long_mae_crps_ticks,8,0.20707159837324612,-0.023364879430561616,0.4771317193786313
3141,60,structural,frozen_mixture,short_mae_crps_ticks,8,0.16999381022612742,-0.18951136164559976,0.4422869780717114
3141,60,structural,frozen_mixture,marginal_crps_ticks,8,0.2763693792152402,-0.07126220847617315,0.6296026657934046
3141,60,structural,frozen_mixture,long_pinball80_ticks,8,0.031022960561570972,-0.13376200163634125,0.23099772874563781
3141,60,structural,frozen_mixture,short_pinball80_ticks,8,0.06061384025264088,-0.31885516513006296,0.30226855194461943
3141,60,structural,frozen_mixture,interval80_score_ticks,8,3.063745505723344,0.9245357902847088,5.272883030596592
