seed,horizon_minutes,model,session_id,log_loss,brier,endpoint_crps_ticks,long_mae_crps_ticks,short_mae_crps_ticks,marginal_crps_ticks,long_pinball80_ticks,short_pinball80_ticks,interval80_score_ticks
1729,60,local,2025-02-19,0.9963504949627087,0.5913347621082468,8.910886056617228,6.078868615094195,4.48892776984312,6.492894147184848,3.4946830890888507,3.487577738126863,60.583463308136125
1729,60,local,2025-02-20,1.0975876320653588,0.6556537083431264,10.56563483674882,8.139814456762481,3.791378896401415,7.498942729970906,4.76970089148406,2.9055845313753257,68.57108027630733
1729,60,local,2025-02-21,1.072270682439719,0.6454090282174367,4.995754620997203,3.04220280232653,3.1467182855605023,3.7282252362947452,2.164891739130803,2.0535032648635294,37.517700301317774
1729,60,local,2025-02-24,1.042134507858398,0.6270058758054229,7.7041355094602215,3.9256900982647043,6.688302316756176,6.106042641493701,3.036954889253804,4.761615013405523,56.8910627729463
1729,60,local,2025-02-25,1.036205595191019,0.620225123687496,7.084708876998622,4.599994768830023,3.0821057695443432,4.922269805124329,3.162023479862324,2.253555599535119,49.71884193797488
1729,60,local,2025-02-26,0.9466285802575705,0.5686277564062269,7.985660238958679,4.661935007731183,5.636776922286363,6.094790722992076,2.87903480078315,3.584315147226976,50.29715887500648
1729,60,local,2025-02-27,1.1213990048289042,0.6793704251608701,7.9668991152731,4.784745477752356,5.213593891224531,5.988412828083329,3.6442860920474973,2.7449526421454205,54.586403391040434
1729,60,local,2025-02-28,0.9715796880596655,0.5882721930706588,9.931599289017372,5.66923711296987,5.90004895051317,7.166961784166803,3.863783110209388,3.55447350571537,67.23730675536784
1729,60,structural,2025-02-19,0.969628844614438,0.5708718813438521,8.487297842941246,5.818158964011352,4.398601001210672,6.234685936054423,3.33311238429609,3.3872020402385945,58.65351884814801
1729,60,structural,2025-02-20,1.1113090948985576,0.6659042188904861,10.688904306177239,7.982789160759187,3.9338494018853627,7.535180956273929,4.565647867876525,3.0275654386021333,66.91976481135272
1729,60,structural,2025-02-21,1.0427126503345812,0.6226391855140752,4.8606154286210135,3.027256413291345,3.0811868905044637,3.656352910805607,2.2256589444592354,2.005900563934846,37.641734275959855
1729,60,structural,2025-02-24,0.9868644925511063,0.5840210378337507,7.393397247086914,4.258016084730565,6.244682143667313,5.96536515849493,3.375036253355618,4.42155143348881,55.82709809079576
1729,60,structural,2025-02-25,1.0415272456729512,0.6227932177784715,7.030100604430982,4.531360742398974,3.1209752016329335,4.894145516154297,3.077971198065367,2.262811312394763,48.99523976671949
1729,60,structural,2025-02-26,0.8875774108657424,0.5235422796362363,7.57397789237719,4.715987014481461,5.360046852612731,5.883337253157126,3.117455521334915,3.3937169786950037,49.3802821590104
1729,60,structural,2025-02-27,1.096677293532438,0.6594531039706684,7.243099421244782,4.531046697596759,5.027542510261857,5.6005628763678,3.4707148645753265,2.636647436524859,51.032129054970106
1729,60,structural,2025-02-28,0.9195856570312281,0.5476716703712233,9.168710453028757,5.424404972171001,5.643553752140424,6.745556392446726,3.719560275409684,3.3977031007077008,63.89014480900192
1729,60,supervised_local,2025-02-19,0.8898049486343681,0.5188537981646445,7.7150526145759954,5.41141416278685,3.849646076134467,5.6587042844991045,3.101323207135193,2.9154083718159134,53.58785200257239
