seed,horizon_minutes,sample,model,session_id,log_loss,brier
1729,60,all_eligible,train_frequency,2025-02-20,1.112278512064248,0.6622908897033608
1729,60,all_eligible,train_frequency,2025-02-21,1.100684735569672,0.6654094596622085
1729,60,all_eligible,train_frequency,2025-02-24,1.0678077627296725,0.646328312542867
1729,60,all_eligible,train_frequency,2025-02-25,1.0611336197013364,0.6384354370284637
1729,60,all_eligible,train_frequency,2025-02-26,0.9665318741134228,0.5869468825017147
1729,60,all_eligible,train_frequency,2025-02-27,1.1481707617267594,0.6987974483453362
1729,60,all_eligible,train_frequency,2025-02-28,0.9929815750759272,0.6083267693329905
1729,60,matched_horizons,clock_only,2025-02-19,0.9127739704174318,0.5536558314604991
1729,60,matched_horizons,clock_only,2025-02-20,1.1020109091525132,0.6568195848693503
1729,60,matched_horizons,clock_only,2025-02-21,1.149669805588709,0.6832961261991566
1729,60,matched_horizons,clock_only,2025-02-24,1.0844473594384705,0.646896080633319
1729,60,matched_horizons,clock_only,2025-02-25,1.0854437833544925,0.6663435402577029
1729,60,matched_horizons,clock_only,2025-02-26,0.9432406033866256,0.5701926263153625
1729,60,matched_horizons,clock_only,2025-02-27,1.0288166064971316,0.634953530949847
1729,60,matched_horizons,clock_only,2025-02-28,0.9502572025023758,0.5856140485320653
1729,60,matched_horizons,frozen_full,2025-02-19,0.6576002514832062,0.36023116318332443
1729,60,matched_horizons,frozen_full,2025-02-20,1.1468978371051444,0.7019665855271442
1729,60,matched_horizons,frozen_full,2025-02-21,1.0472320029181263,0.6317789723083762
1729,60,matched_horizons,frozen_full,2025-02-24,0.7883440058808974,0.45575023073106435
1729,60,matched_horizons,frozen_full,2025-02-25,1.082603199749544,0.6531228136625682
1729,60,matched_horizons,frozen_full,2025-02-26,0.8066857739415483,0.4741855694764641
1729,60,matched_horizons,frozen_full,2025-02-27,0.7965629015075356,0.4583999492185651
1729,60,matched_horizons,frozen_full,2025-02-28,0.8182564070018059,0.4717443670460508
1729,60,matched_horizons,price_only,2025-02-19,0.6617889370497801,0.3676583424620446
1729,60,matched_horizons,price_only,2025-02-20,1.1645784507791754,0.7070724197078233
1729,60,matched_horizons,price_only,2025-02-21,1.1534162059400601,0.7053345086700279
1729,60,matched_horizons,price_only,2025-02-24,0.8644654167203986,0.4996795957629956
1729,60,matched_horizons,price_only,2025-02-25,0.9706806709413962,0.5815715417664511
1729,60,matched_horizons,price_only,2025-02-26,0.7486782972268556,0.42962489917913615
1729,60,matched_horizons,price_only,2025-02-27,0.789197146376576,0.4607665578225324
1729,60,matched_horizons,price_only,2025-02-28,0.7459945809128986,0.43370328444661527
1729,60,matched_horizons,train_frequency,2025-02-19,0.8888138452125864,0.5366157353823732
1729,60,matched_horizons,train_frequency,2025-02-20,1.0885972167734146,0.6481447991683813
1729,60,matched_horizons,train_frequency,2025-02-21,1.1334382728342516,0.6793947991683813
1729,60,matched_horizons,train_frequency,2025-02-24,1.0913656224450854,0.6553785954646777
1729,60,matched_horizons,train_frequency,2025-02-25,1.0732211384975936,0.6557000975222909
1729,60,matched_horizons,train_frequency,2025-02-26,0.9386979703150833,0.5619500975222907
1729,60,matched_horizons,train_frequency,2025-02-27,1.0681780694559335,0.6616157353823732
1729,60,matched_horizons,train_frequency,2025-02-28,0.9550615331942675,0.5951612600737312
1729,120,all_eligible,clock_only,2025-02-19,0.9221857913661528,0.547277071471779
1729,120,all_eligible,clock_only,2025-02-20,0.8611857132102657,0.5068445743464086
1729,120,all_eligible,clock_only,2025-02-21,1.1129243064015526,0.6764219945847112
1729,120,all_eligible,clock_only,2025-02-24,1.173070721820342,0.7229369871899417
1729,120,all_eligible,clock_only,2025-02-25,0.8665038304956841,0.5150611570116291
1729,120,all_eligible,clock_only,2025-02-26,1.0707337868579443,0.6570479796761778
1729,120,all_eligible,clock_only,2025-02-27,1.187020553645623,0.7163010698422398
1729,120,all_eligible,clock_only,2025-02-28,0.9660842256987199,0.5843593397688737
1729,120,all_eligible,frozen_full,2025-02-19,0.8670876961158771,0.5040848875894632
1729,120,all_eligible,frozen_full,2025-02-20,0.993646937495318,0.615886146837232
1729,120,all_eligible,frozen_full,2025-02-21,1.1343045148963853,0.6900729081011574
1729,120,all_eligible,frozen_full,2025-02-24,1.1122297567525226,0.6723382750665563
